ProductionVolume;ProductionCost;SupplierQuality;DeliveryDelay;DefectRate;QualityScore;MaintenanceHours;DowntimePercentage;InventoryTurnover;StockoutRate;WorkerProductivity;SafetyIncidents;EnergyConsumption;EnergyEfficiency;AdditiveProcessTime;AdditiveMaterialCost;DefectStatus
202;13.175.403.783.454.000;866.485.338.434.873;1;3.121.492.266.688.970;6.346.349.432.717.400;9;0.05234286658251319;8.630.515.349.694.390;0.08132168068956508;850.423.792.820.698;0;24.196.167.853.897.300;0.4689466237325203;5.551.638.989.779.320;2.364.393.009.685.120;1
535;19.770.046.092.867.600;863.106.636.132.627;4;0.8195305110016484;8.369.781.763.161.650;20;4.908.328.249.649.520;9.296.598.088.201.090;0.03848646964621693;9.965.744.298.305.930;7;3.915.566.712.518.900;0.11948455827101667;9.080.753.556.517.900;35.395.763.117.070.100;1
960;19.060.820.997.456.700;8.213.247.237.873.190;0;4.514.504.070.609.860;903.505.500.280.751;1;2.464.922.789.091.970;5.097.485.700.889.160;0.002887365066928005;9.281.926.429.207.650;2;33.923.853.619.070.100;0.4963915263771467;6.562.827.271.335.970;3.961.894.020.789.740;1
370;5.647.606.036.955.170;8.733.596.641.292.530;5;0.6385239600693806;6.762.869.012.018.980;8;4.692.475.791.653.850;35.776.159.908.082.600;0.05533097122982638;9.688.701.345.693.420;8;4.652.400.275.208.070;0.18312508808080313;8.097.495.649.797.910;16.413.586.993.599.600;1
206;7.472.222.235.941.550;819.898.933.774.593;3;3.867.783.602.943.840;8.272.833.363.149.960;9;27.467.261.691.752.600;6.851.709.481.404.510;0.06804713889235275;8.831.555.363.943.420;7;15.816.303.322.233.500;0.26350694415960374;6.406.154.013.365.920;36.570.896.355.524.600;1
171;6.975.931.601.818.420;9.533.191.889.424.100;1;3.914.573.642.169.400;9.256.843.593.531.470;19;30.273.243.011.114.400;7.930.009.365.731.890;0.07406949453360068;8.707.911.774.289.630;7;1.238.994.421.294.100;0.11802052326628704;7.279.442.018.854.660;1.717.118.038.606.040;1
800;15.889.698.649.779.400;9.932.548.595.496.370;3;4.788.999.883.768.680;9.072.991.110.585.260;10;35.595.612.795.198.600;30.468.885.305.972.800;0.0401924954309284;9.106.315.789.762.180;8;31.384.311.499.645.100;0.3339128812432125;489.166.883.913.966;18.872.773.739.599.300;1
120;1.726.677.994.785.410;9.940.148.913.333.410;4;0.7436048378104434;9.211.968.071.468.610;13;16.048.786.683.220.200;8.380.972.117.476.270;0.009701963149240057;8.870.556.885.253.270;3;10.041.085.544.431.400;0.29342210616039666;9.333.834.716.873.650;312.526.896.112.006;1
714;8.202.670.494.660.070;9.730.142.198.750.780;5;3.185.855.873.530.200;9.517.293.699.478.870;2;3.494.919.803.375.170;36.687.465.601.004.600;0.05843264344633864;9.429.896.110.273.580;4;4.150.875.772.539.860;0.366682813893912;5.517.451.183.952.440;21.568.092.079.042.900;1
221;12.587.790.394.277.400;9.201.584.298.679.230;2;24.252.825.678.217.300;975.072.840.863.788;0;26.339.595.492.569.100;593.341.834.326.768;0.03295478852381818;853.163.618.042.359;6;30.238.915.547.400.300;0.31707125091658905;5.965.972.023.040.860;3.646.381.764.945.940;0
566;17.610.545.420.168;940.173.139.448.776;3;19.878.482.968.679.300;7.622.084.620.814.140;6;33.623.997.479.125.300;8.851.859.599.025.220;0.0946887482274853;8.899.182.062.184.790;1;29.522.623.042.315.700;0.2592711138588276;5.724.689.529.293.640;4.823.106.496.966.150;0
314;15.992.023.171.493.700;8.570.411.605.360.820;0;0.9064335213458287;8.275.076.410.091.500;3;41.791.663.045.492.000;35.473.960.883.415.400;0.050271210806132775;979.026.549.458.812;6;24.499.839.148.966.900;0.39510267912466834;3.845.701.181.484.260;15.955.688.053.495.700;0
